_id,zip,provider,zone
ObjectId(5911299b3c888a01983cecee),85303,Cox,C
ObjectId(5911299b3c888a01983cecef),85308,Cox,C
ObjectId(5911299b3c888a01983cecf0),85307,Cox,C
ObjectId(5911299b3c888a01983cecf1),85305,Cox,C
ObjectId(5911299b3c888a01983cecf2),85304,Cox,C
ObjectId(5911299b3c888a01983cecf3),85310,Cox,C
ObjectId(5911299b3c888a01983cecf4),85338,Cox,C
ObjectId(5911299b3c888a01983cecf5),85236,Cox,C
ObjectId(5911299b3c888a01983cecf6),85339,Cox,C
ObjectId(5911299b3c888a01983cecf7),85340,Cox,C
ObjectId(5911299b3c888a01983cecf8),85309,Cox,C
ObjectId(5911299b3c888a01983cecf9),85253,Cox,C
ObjectId(5911299b3c888a01983cecfa),85381,Cox,C
ObjectId(5911299b3c888a01983cecfb),85345,Cox,C
ObjectId(5911299b3c888a01983cecfc),85382,Cox,C
ObjectId(5911299b3c888a01983cecfd),85383,Cox,C
ObjectId(5911299b3c888a01983cecfe),85034,Cox,C
ObjectId(5911299b3c888a01983cecff),85040,Cox,C
ObjectId(5911299b3c888a01983ced00),85009,Cox,C
ObjectId(5911299b3c888a01983ced01),85031,Cox,C
ObjectId(5911299b3c888a01983ced02),85017,Cox,C
ObjectId(5911299b3c888a01983ced03),85003,Cox,C
ObjectId(5911299b3c888a01983ced04),85004,Cox,C
ObjectId(5911299b3c888a01983ced05),85012,Cox,C
ObjectId(5911299b3c888a01983ced06),85008,Cox,C
ObjectId(5911299b3c888a01983ced07),85019,Cox,C
ObjectId(5911299b3c888a01983ced08),85018,Cox,C
ObjectId(5911299b3c888a01983ced09),85007,Cox,C
ObjectId(5911299b3c888a01983ced0a),85053,Cox,C
ObjectId(5911299b3c888a01983ced0b),85021,Cox,C
ObjectId(5911299b3c888a01983ced0c),85013,Cox,C
ObjectId(5911299b3c888a01983ced0d),85006,Cox,C
ObjectId(5911299b3c888a01983ced0e),85020,Cox,C
ObjectId(5911299b3c888a01983ced0f),85033,Cox,C
ObjectId(5911299b3c888a01983ced10),85016,Cox,C
ObjectId(5911299b3c888a01983ced11),85051,Cox,C
ObjectId(5911299b3c888a01983ced12),85042,Cox,C
ObjectId(5911299b3c888a01983ced13),85035,Cox,C
ObjectId(5911299b3c888a01983ced14),85085,Cox,C
ObjectId(5911299b3c888a01983ced15),85041,Cox,C
ObjectId(5911299b3c888a01983ced16),85032,Cox,C
ObjectId(5911299b3c888a01983ced17),85015,Cox,C
ObjectId(5911299b3c888a01983ced18),85014,Cox,C
ObjectId(5911299b3c888a01983ced19),85023,Cox,C
ObjectId(5911299b3c888a01983ced1a),85044,Cox,C
ObjectId(5911299b3c888a01983ced1b),85048,Cox,C
ObjectId(5911299b3c888a01983ced1c),85022,Cox,C
ObjectId(5911299b3c888a01983ced1d),85028,Cox,C
ObjectId(5911299b3c888a01983ced1e),85027,Cox,C
ObjectId(5911299b3c888a01983ced1f),85029,Cox,C
ObjectId(5911299b3c888a01983ced20),85050,Cox,C
ObjectId(5911299b3c888a01983ced21),85024,Cox,C
ObjectId(5911299b3c888a01983ced22),85043,Cox,C
ObjectId(5911299b3c888a01983ced23),85045,Cox,C
ObjectId(5911299b3c888a01983ced24),85054,Cox,C
ObjectId(5911299b3c888a01983ced25),85037,Cox,C
ObjectId(5911299b3c888a01983ced26),85046,Cox,C
ObjectId(5911299b3c888a01983ced27),85263,Cox,C
ObjectId(5911299b3c888a01983ced28),85252,Cox,C
ObjectId(5911299b3c888a01983ced29),85251,Cox,C
ObjectId(5911299b3c888a01983ced2a),85267,Cox,C
ObjectId(5911299b3c888a01983ced2b),85250,Cox,C
ObjectId(5911299b3c888a01983ced2c),85258,Cox,C
ObjectId(5911299b3c888a01983ced2d),85257,Cox,C
ObjectId(5911299b3c888a01983ced2e),85255,Cox,C
ObjectId(5911299b3c888a01983ced2f),85260,Cox,C
ObjectId(5911299b3c888a01983ced30),85254,Cox,C
ObjectId(5911299b3c888a01983ced31),85266,Cox,C
ObjectId(5911299b3c888a01983ced32),85259,Cox,C
ObjectId(5911299b3c888a01983ced33),85262,Cox,C
ObjectId(5911299b3c888a01983ced34),85351,Cox,C
ObjectId(5911299b3c888a01983ced35),85373,Cox,C
ObjectId(5911299b3c888a01983ced36),85375,Cox,C
ObjectId(5911299b3c888a01983ced37),85387,Cox,C
ObjectId(5911299b3c888a01983ced38),85374,Cox,C
ObjectId(5911299b3c888a01983ced39),85388,Cox,C
ObjectId(5911299b3c888a01983ced3a),85379,Cox,C
ObjectId(5911299b3c888a01983ced3b),85287,Cox,C
ObjectId(5911299b3c888a01983ced3c),85284,Cox,C
ObjectId(5911299b3c888a01983ced3d),85282,Cox,C
ObjectId(5911299b3c888a01983ced3e),85281,Cox,C
ObjectId(5911299b3c888a01983ced3f),85283,Cox,C
ObjectId(5911299b3c888a01983ced40),85353,Cox,C
ObjectId(5911299b3c888a01983ced41),85355,Cox,C
ObjectId(5911299b3c888a01983ced42),85363,Cox,C
ObjectId(5911299b3c888a01983ced43),85602,Cox,C
ObjectId(5911299b3c888a01983ced44),85607,Cox,C
ObjectId(5911299b3c888a01983ced45),85613,Cox,C
ObjectId(5911299b3c888a01983ced46),85622,Cox,C
ObjectId(5911299b3c888a01983ced47),85614,Cox,C
ObjectId(5911299b3c888a01983ced48),85629,Cox,C
ObjectId(5911299b3c888a01983ced49),85635,Cox,C
ObjectId(5911299b3c888a01983ced4a),85650,Cox,C
ObjectId(5911299b3c888a01983ced4b),85756,Cox,C
ObjectId(5911299b3c888a01983ced4c),85724,Cox,C
ObjectId(5911299b3c888a01983ced4d),85721,Cox,C
ObjectId(5911299b3c888a01983ced4e),85709,Cox,C
ObjectId(5911299b3c888a01983ced4f),85723,Cox,C
ObjectId(5911299b3c888a01983ced50),85704,Cox,C
ObjectId(5911299b3c888a01983ced51),85718,Cox,C
ObjectId(5911299b3c888a01983ced52),85707,Cox,C
ObjectId(5911299b3c888a01983ced53),85708,Cox,C
ObjectId(5911299b3c888a01983ced54),85701,Cox,C
ObjectId(5911299b3c888a01983ced55),85716,Cox,C
ObjectId(5911299b3c888a01983ced56),85705,Cox,C
ObjectId(5911299b3c888a01983ced57),85710,Cox,C
ObjectId(5911299b3c888a01983ced58),85719,Cox,C
ObjectId(5911299b3c888a01983ced59),85711,Cox,C
ObjectId(5911299b3c888a01983ced5a),85712,Cox,C
ObjectId(5911299b3c888a01983ced5b),85715,Cox,C
ObjectId(5911299b3c888a01983ced5c),85713,Cox,C
ObjectId(5911299b3c888a01983ced5d),85706,Cox,C
ObjectId(5911299b3c888a01983ced5e),85714,Cox,C
ObjectId(5911299b3c888a01983ced5f),85730,Cox,C
ObjectId(5911299b3c888a01983ced60),85749,Cox,C
ObjectId(5911299b3c888a01983ced61),85745,Cox,C
ObjectId(5911299b3c888a01983ced62),85748,Cox,C
ObjectId(5911299b3c888a01983ced63),85747,Cox,C
ObjectId(5911299b3c888a01983ced64),85750,Cox,C
ObjectId(5911299b3c888a01983ced65),85641,Cox,C
ObjectId(5911299b3c888a01983ced66),44147,Cox,C
ObjectId(5911299b3c888a01983ced67),44126,Cox,C
ObjectId(5911299b3c888a01983ced68),44107,Cox,C
ObjectId(5911299b3c888a01983ced69),44138,Cox,C
ObjectId(5911299b3c888a01983ced6a),44129,Cox,C
ObjectId(5911299b3c888a01983ced6b),44134,Cox,C
ObjectId(5911299b3c888a01983ced6c),44130,Cox,C
ObjectId(5911299b3c888a01983ced6d),44116,Cox,C
ObjectId(5911299b3c888a01983ced6e),44131,Cox,C
ObjectId(5911299b3c888a01983ced6f),32615,Cox,C
ObjectId(5911299b3c888a01983ced70),32610,Cox,C
ObjectId(5911299b3c888a01983ced71),32601,Cox,C
ObjectId(5911299b3c888a01983ced72),32605,Cox,C
ObjectId(5911299b3c888a01983ced73),32609,Cox,C
ObjectId(5911299b3c888a01983ced74),32606,Cox,C
ObjectId(5911299b3c888a01983ced75),32607,Cox,C
ObjectId(5911299b3c888a01983ced76),32603,Cox,C
ObjectId(5911299b3c888a01983ced77),32608,Cox,C
ObjectId(5911299b3c888a01983ced78),32641,Cox,C
ObjectId(5911299b3c888a01983ced79),32653,Cox,C
ObjectId(5911299b3c888a01983ced7a),32669,Cox,C
ObjectId(5911299b3c888a01983ced7b),34474,Cox,C
ObjectId(5911299b3c888a01983ced7c),34470,Cox,C
ObjectId(5911299b3c888a01983ced7d),34475,Cox,C
ObjectId(5911299b3c888a01983ced7e),34482,Cox,C
ObjectId(5911299b3c888a01983ced7f),34479,Cox,C
ObjectId(5911299b3c888a01983ced80),34471,Cox,C
ObjectId(5911299b3c888a01983ced81),34480,Cox,C
ObjectId(5911299b3c888a01983ced82),34488,Cox,C
ObjectId(5911299b3c888a01983ced83),70052,Cox,C
ObjectId(5911299b3c888a01983ced84),70071,Cox,C
ObjectId(5911299b3c888a01983ced85),70086,Cox,C
ObjectId(5911299b3c888a01983ced86),70346,Cox,C
ObjectId(5911299b3c888a01983ced87),70706,Cox,C
ObjectId(5911299b3c888a01983ced88),70710,Cox,C
ObjectId(5911299b3c888a01983ced89),70714,Cox,C
ObjectId(5911299b3c888a01983ced8a),70719,Cox,C
ObjectId(5911299b3c888a01983ced8b),70721,Cox,C
ObjectId(5911299b3c888a01983ced8c),70722,Cox,C
ObjectId(5911299b3c888a01983ced8d),70725,Cox,C
ObjectId(5911299b3c888a01983ced8e),70726,Cox,C
ObjectId(5911299b3c888a01983ced8f),70727,Cox,C
ObjectId(5911299b3c888a01983ced90),70729,Cox,C
ObjectId(5911299b3c888a01983ced91),70734,Cox,C
ObjectId(5911299b3c888a01983ced92),70737,Cox,C
ObjectId(5911299b3c888a01983ced93),70738,Cox,C
ObjectId(5911299b3c888a01983ced94),70739,Cox,C
ObjectId(5911299b3c888a01983ced95),70740,Cox,C
ObjectId(5911299b3c888a01983ced96),70748,Cox,C
ObjectId(5911299b3c888a01983ced97),70757,Cox,C
ObjectId(5911299b3c888a01983ced98),70764,Cox,C
ObjectId(5911299b3c888a01983ced99),70765,Cox,C
ObjectId(5911299b3c888a01983ced9a),70767,Cox,C
ObjectId(5911299b3c888a01983ced9b),70769,Cox,C
ObjectId(5911299b3c888a01983ced9c),70770,Cox,C
ObjectId(5911299b3c888a01983ced9d),70772,Cox,C
ObjectId(5911299b3c888a01983ced9e),70774,Cox,C
ObjectId(5911299b3c888a01983ced9f),70776,Cox,C
ObjectId(5911299b3c888a01983ceda0),70777,Cox,C
ObjectId(5911299b3c888a01983ceda1),70778,Cox,C
ObjectId(5911299b3c888a01983ceda2),70780,Cox,C
ObjectId(5911299b3c888a01983ceda3),70785,Cox,C
ObjectId(5911299b3c888a01983ceda4),70788,Cox,C
ObjectId(5911299b3c888a01983ceda5),70791,Cox,C
ObjectId(5911299b3c888a01983ceda6),70801,Cox,C
ObjectId(5911299b3c888a01983ceda7),70802,Cox,C
ObjectId(5911299b3c888a01983ceda8),70803,Cox,C
ObjectId(5911299b3c888a01983ceda9),70805,Cox,C
ObjectId(5911299b3c888a01983cedaa),70806,Cox,C
ObjectId(5911299b3c888a01983cedab),70807,Cox,C
ObjectId(5911299b3c888a01983cedac),70808,Cox,C
ObjectId(5911299b3c888a01983cedad),70809,Cox,C
ObjectId(5911299b3c888a01983cedae),70810,Cox,C
ObjectId(5911299b3c888a01983cedaf),70811,Cox,C
ObjectId(5911299b3c888a01983cedb0),70812,Cox,C
ObjectId(5911299b3c888a01983cedb1),70813,Cox,C
ObjectId(5911299b3c888a01983cedb2),70814,Cox,C
ObjectId(5911299b3c888a01983cedb3),70815,Cox,C
ObjectId(5911299b3c888a01983cedb4),70816,Cox,C
ObjectId(5911299b3c888a01983cedb5),70817,Cox,C
ObjectId(5911299b3c888a01983cedb6),70818,Cox,C
ObjectId(5911299b3c888a01983cedb7),70819,Cox,C
ObjectId(5911299b3c888a01983cedb8),70820,Cox,C
ObjectId(5911299b3c888a01983cedb9),70836,Cox,C
ObjectId(5911299b3c888a01983cedba),70893,Cox,C
ObjectId(5911299b3c888a01983cedbb),70510,Cox,C
ObjectId(5911299b3c888a01983cedbc),70512,Cox,C
ObjectId(5911299b3c888a01983cedbd),70514,Cox,C
ObjectId(5911299b3c888a01983cedbe),70517,Cox,C
ObjectId(5911299b3c888a01983cedbf),70518,Cox,C
ObjectId(5911299b3c888a01983cedc0),70520,Cox,C
ObjectId(5911299b3c888a01983cedc1),70521,Cox,C
ObjectId(5911299b3c888a01983cedc2),70522,Cox,C
ObjectId(5911299b3c888a01983cedc3),70523,Cox,C
ObjectId(5911299b3c888a01983cedc4),70525,Cox,C
ObjectId(5911299b3c888a01983cedc5),70526,Cox,C
ObjectId(5911299b3c888a01983cedc6),70528,Cox,C
ObjectId(5911299b3c888a01983cedc7),70529,Cox,C
ObjectId(5911299b3c888a01983cedc8),70533,Cox,C
ObjectId(5911299b3c888a01983cedc9),70538,Cox,C
ObjectId(5911299b3c888a01983cedca),70540,Cox,C
ObjectId(5911299b3c888a01983cedcb),70544,Cox,C
ObjectId(5911299b3c888a01983cedcc),70548,Cox,C
ObjectId(5911299b3c888a01983cedcd),70503,Cox,C
ObjectId(5911299b3c888a01983cedce),70508,Cox,C
ObjectId(5911299b3c888a01983cedcf),70506,Cox,C
ObjectId(5911299b3c888a01983cedd0),70501,Cox,C
ObjectId(5911299b3c888a01983cedd1),70507,Cox,C
ObjectId(5911299b3c888a01983cedd2),70552,Cox,C
ObjectId(5911299b3c888a01983cedd3),70555,Cox,C
ObjectId(5911299b3c888a01983cedd4),70558,Cox,C
ObjectId(5911299b3c888a01983cedd5),70380,Cox,C
ObjectId(5911299b3c888a01983cedd6),70563,Cox,C
ObjectId(5911299b3c888a01983cedd7),70560,Cox,C
ObjectId(5911299b3c888a01983cedd8),70392,Cox,C
ObjectId(5911299b3c888a01983cedd9),70575,Cox,C
ObjectId(5911299b3c888a01983cedda),70578,Cox,C
ObjectId(5911299b3c888a01983ceddb),70582,Cox,C
ObjectId(5911299b3c888a01983ceddc),70583,Cox,C
ObjectId(5911299b3c888a01983ceddd),70592,Cox,C
ObjectId(5911299b3c888a01983cedde),70504,Cox,C
ObjectId(5911299b3c888a01983ceddf),70822,Cox,C
ObjectId(5911299b3c888a01983cede0),70823,Cox,C
ObjectId(5911299b3c888a01983cede1),70833,Cox,C
ObjectId(5911299b3c888a01983cede2),32533,Cox,C
ObjectId(5911299b3c888a01983cede3),32536,Cox,C
ObjectId(5911299b3c888a01983cede4),32539,Cox,C
ObjectId(5911299b3c888a01983cede5),32541,Cox,C
ObjectId(5911299b3c888a01983cede6),32542,Cox,C
ObjectId(5911299b3c888a01983cede7),32549,Cox,C
ObjectId(5911299b3c888a01983cede8),32547,Cox,C
ObjectId(5911299b3c888a01983cede9),32548,Cox,C
ObjectId(5911299b3c888a01983cedea),32449,Cox,C
ObjectId(5911299b3c888a01983cedeb),32439,Cox,C
ObjectId(5911299b3c888a01983cedec),32561,Cox,C
ObjectId(5911299b3c888a01983ceded),32544,Cox,C
ObjectId(5911299b3c888a01983cedee),32569,Cox,C
ObjectId(5911299b3c888a01983cedef),32550,Cox,C
ObjectId(5911299b3c888a01983cedf0),32578,Cox,C
ObjectId(5911299b3c888a01983cedf1),32534,Cox,C
ObjectId(5911299b3c888a01983cedf2),32504,Cox,C
ObjectId(5911299b3c888a01983cedf3),32505,Cox,C
ObjectId(5911299b3c888a01983cedf4),32503,Cox,C
ObjectId(5911299b3c888a01983cedf5),32514,Cox,C
ObjectId(5911299b3c888a01983cedf6),32506,Cox,C
ObjectId(5911299b3c888a01983cedf7),32501,Cox,C
ObjectId(5911299b3c888a01983cedf8),32502,Cox,C
ObjectId(5911299b3c888a01983cedf9),32509,Cox,C
ObjectId(5911299b3c888a01983cedfa),32526,Cox,C
ObjectId(5911299b3c888a01983cedfb),32507,Cox,C
ObjectId(5911299b3c888a01983cedfc),32459,Cox,C
ObjectId(5911299b3c888a01983cedfd),32579,Cox,C
ObjectId(5911299b3c888a01983cedfe),23011,Cox,C
ObjectId(5911299b3c888a01983cedff),23328,Cox,C
ObjectId(5911299b3c888a01983cee00),23326,Cox,C
ObjectId(5911299b3c888a01983cee01),23321,Cox,C
ObjectId(5911299b3c888a01983cee02),23324,Cox,C
ObjectId(5911299b3c888a01983cee03),23327,Cox,C
ObjectId(5911299b3c888a01983cee04),23320,Cox,C
ObjectId(5911299b3c888a01983cee05),23325,Cox,C
ObjectId(5911299b3c888a01983cee06),23323,Cox,C
ObjectId(5911299b3c888a01983cee07),23322,Cox,C
ObjectId(5911299b3c888a01983cee08),23061,Cox,C
ObjectId(5911299b3c888a01983cee09),23062,Cox,C
ObjectId(5911299b3c888a01983cee0a),23670,Cox,C
ObjectId(5911299b3c888a01983cee0b),23630,Cox,C
ObjectId(5911299b3c888a01983cee0c),23667,Cox,C
ObjectId(5911299b3c888a01983cee0d),23668,Cox,C
ObjectId(5911299b3c888a01983cee0e),23681,Cox,C
ObjectId(5911299b3c888a01983cee0f),23663,Cox,C
ObjectId(5911299b3c888a01983cee10),23669,Cox,C
ObjectId(5911299b3c888a01983cee11),23605,Cox,C
ObjectId(5911299b3c888a01983cee12),23666,Cox,C
ObjectId(5911299b3c888a01983cee13),23661,Cox,C
ObjectId(5911299b3c888a01983cee14),23664,Cox,C
ObjectId(5911299b3c888a01983cee15),23651,Cox,C
ObjectId(5911299b3c888a01983cee16),23665,Cox,C
ObjectId(5911299b3c888a01983cee17),23072,Cox,C
ObjectId(5911299b3c888a01983cee18),23155,Cox,C
ObjectId(5911299b3c888a01983cee19),23089,Cox,C
ObjectId(5911299b3c888a01983cee1a),23110,Cox,C
ObjectId(5911299b3c888a01983cee1b),23124,Cox,C
ObjectId(5911299b3c888a01983cee1c),23602,Cox,C
ObjectId(5911299b3c888a01983cee1d),23608,Cox,C
ObjectId(5911299b3c888a01983cee1e),23606,Cox,C
ObjectId(5911299b3c888a01983cee1f),23607,Cox,C
ObjectId(5911299b3c888a01983cee20),23601,Cox,C
ObjectId(5911299b3c888a01983cee21),23603,Cox,C
ObjectId(5911299b3c888a01983cee22),23604,Cox,C
ObjectId(5911299b3c888a01983cee23),23012,Cox,C
ObjectId(5911299b3c888a01983cee24),23028,Cox,C
ObjectId(5911299b3c888a01983cee25),23529,Cox,C
ObjectId(5911299b3c888a01983cee26),23515,Cox,C
ObjectId(5911299b3c888a01983cee27),23501,Cox,C
ObjectId(5911299b3c888a01983cee28),23513,Cox,C
ObjectId(5911299b3c888a01983cee29),23507,Cox,C
ObjectId(5911299b3c888a01983cee2a),23508,Cox,C
ObjectId(5911299b3c888a01983cee2b),23518,Cox,C
ObjectId(5911299b3c888a01983cee2c),23517,Cox,C
ObjectId(5911299b3c888a01983cee2d),23505,Cox,C
ObjectId(5911299b3c888a01983cee2e),23504,Cox,C
ObjectId(5911299b3c888a01983cee2f),23514,Cox,C
ObjectId(5911299b3c888a01983cee30),23503,Cox,C
ObjectId(5911299b3c888a01983cee31),23510,Cox,C
ObjectId(5911299b3c888a01983cee32),23502,Cox,C
ObjectId(5911299b3c888a01983cee33),23509,Cox,C
ObjectId(5911299b3c888a01983cee34),23523,Cox,C
ObjectId(5911299b3c888a01983cee35),23511,Cox,C
ObjectId(5911299b3c888a01983cee36),23521,Cox,C
ObjectId(5911299b3c888a01983cee37),23512,Cox,C
ObjectId(5911299b3c888a01983cee38),23551,Cox,C
ObjectId(5911299b3c888a01983cee39),23506,Cox,C
ObjectId(5911299b3c888a01983cee3a),23519,Cox,C
ObjectId(5911299b3c888a01983cee3b),23520,Cox,C
ObjectId(5911299b3c888a01983cee3c),23541,Cox,C
ObjectId(5911299b3c888a01983cee3d),23127,Cox,C
ObjectId(5911299b3c888a01983cee3e),23662,Cox,C
ObjectId(5911299b3c888a01983cee3f),23705,Cox,C
ObjectId(5911299b3c888a01983cee40),23704,Cox,C
ObjectId(5911299b3c888a01983cee41),23701,Cox,C
ObjectId(5911299b3c888a01983cee42),23703,Cox,C
ObjectId(5911299b3c888a01983cee43),23708,Cox,C
ObjectId(5911299b3c888a01983cee44),23707,Cox,C
ObjectId(5911299b3c888a01983cee45),23702,Cox,C
ObjectId(5911299b3c888a01983cee46),23709,Cox,C
ObjectId(5911299b3c888a01983cee47),23140,Cox,C
ObjectId(5911299b3c888a01983cee48),23141,Cox,C
ObjectId(5911299b3c888a01983cee49),23696,Cox,C
ObjectId(5911299b3c888a01983cee4a),23156,Cox,C
ObjectId(5911299b3c888a01983cee4b),23168,Cox,C
ObjectId(5911299b3c888a01983cee4c),23467,Cox,C
ObjectId(5911299b3c888a01983cee4d),23479,Cox,C
ObjectId(5911299b3c888a01983cee4e),23450,Cox,C
ObjectId(5911299b3c888a01983cee4f),23458,Cox,C
ObjectId(5911299b3c888a01983cee50),23471,Cox,C
ObjectId(5911299b3c888a01983cee51),23462,Cox,C
ObjectId(5911299b3c888a01983cee52),23455,Cox,C
ObjectId(5911299b3c888a01983cee53),23464,Cox,C
ObjectId(5911299b3c888a01983cee54),23451,Cox,C
ObjectId(5911299b3c888a01983cee55),23454,Cox,C
ObjectId(5911299b3c888a01983cee56),23452,Cox,C
ObjectId(5911299b3c888a01983cee57),23460,Cox,C
ObjectId(5911299b3c888a01983cee58),23453,Cox,C
ObjectId(5911299b3c888a01983cee59),23456,Cox,C
ObjectId(5911299b3c888a01983cee5a),23465,Cox,C
ObjectId(5911299b3c888a01983cee5b),23457,Cox,C
ObjectId(5911299b3c888a01983cee5c),23459,Cox,C
ObjectId(5911299b3c888a01983cee5d),23461,Cox,C
ObjectId(5911299b3c888a01983cee5e),23463,Cox,C
ObjectId(5911299b3c888a01983cee5f),23466,Cox,C
ObjectId(5911299b3c888a01983cee60),23181,Cox,C
ObjectId(5911299b3c888a01983cee61),23186,Cox,C
ObjectId(5911299b3c888a01983cee62),23187,Cox,C
ObjectId(5911299b3c888a01983cee63),23185,Cox,C
ObjectId(5911299b3c888a01983cee64),23188,Cox,C
ObjectId(5911299b3c888a01983cee65),23081,Cox,C
ObjectId(5911299b3c888a01983cee66),23691,Cox,C
ObjectId(5911299b3c888a01983cee67),23692,Cox,C
ObjectId(5911299b3c888a01983cee68),23693,Cox,C
ObjectId(5911299b3c888a01983cee69),23690,Cox,C
ObjectId(5911299b3c888a01983cee6a),72921,Cox,C
ObjectId(5911299b3c888a01983cee6b),74901,Cox,C
ObjectId(5911299b3c888a01983cee6c),72711,Cox,C
ObjectId(5911299b3c888a01983cee6d),72923,Cox,C
ObjectId(5911299b3c888a01983cee6e),72613,Cox,C
ObjectId(5911299b3c888a01983cee6f),72714,Cox,C
ObjectId(5911299b3c888a01983cee70),72715,Cox,C
ObjectId(5911299b3c888a01983cee71),72712,Cox,C
ObjectId(5911299b3c888a01983cee72),72615,Cox,C
ObjectId(5911299b3c888a01983cee73),72616,Cox,C
ObjectId(5911299b3c888a01983cee74),72764,Cox,C
ObjectId(5911299b3c888a01983cee75),72916,Cox,C
ObjectId(5911299b3c888a01983cee76),74932,Cox,C
ObjectId(5911299b3c888a01983cee77),72718,Cox,C
ObjectId(5911299b3c888a01983cee78),72932,Cox,C
ObjectId(5911299b3c888a01983cee79),72719,Cox,C
ObjectId(5911299b3c888a01983cee7a),72941,Cox,C
ObjectId(5911299b3c888a01983cee7b),72934,Cox,C
ObjectId(5911299b3c888a01983cee7c),72722,Cox,C
ObjectId(5911299b3c888a01983cee7d),72648,Cox,C
ObjectId(5911299b3c888a01983cee7e),72935,Cox,C
ObjectId(5911299b3c888a01983cee7f),72727,Cox,C
ObjectId(5911299b3c888a01983cee80),72728,Cox,C
ObjectId(5911299b3c888a01983cee81),72632,Cox,C
ObjectId(5911299b3c888a01983cee82),72730,Cox,C
ObjectId(5911299b3c888a01983cee83),72703,Cox,C
ObjectId(5911299b3c888a01983cee84),72701,Cox,C
ObjectId(5911299b3c888a01983cee85),72704,Cox,C
ObjectId(5911299b3c888a01983cee86),72905,Cox,C
ObjectId(5911299b3c888a01983cee87),72903,Cox,C
ObjectId(5911299b3c888a01983cee88),72901,Cox,C
ObjectId(5911299b3c888a01983cee89),72904,Cox,C
ObjectId(5911299b3c888a01983cee8a),72908,Cox,C
ObjectId(5911299b3c888a01983cee8b),71916,Cox,C
ObjectId(5911299b3c888a01983cee8c),72734,Cox,C
ObjectId(5911299b3c888a01983cee8d),72735,Cox,C
ObjectId(5911299b3c888a01983cee8e),72736,Cox,C
